Directory,ModuleID,ChipSN,RunNumber,RunType,Date,ConfigNumber,Threshold,Voltage,Triggers,EffRaw,EffSignal,EffCorrected,NoiseFraction,AverageRate,SignalRate,Time,ToTDrop,LowPixels,LowPixelsErr
data/cosmicData/MDBM-29/2013-09-24/cosmic_001324,MDBM-29,0,1324,Occupancy,24/09/2013,8852,1100,500,1982652,0.448263,0.334951,0.222053,0.464864,202.417,36.282,163.248,0,2169.98,54.8361
data/cosmicData/MDBM-30/2013-10-02/cosmic_001430,MDBM-30,0,1430,Occupancy,02/10/2013,10026,1003,500,4415651,0.309585,0.29892,0.291051,0.0478095,198.189,56.4101,371.335,0,1360.95,45.8039
data/cosmicData/MDBM-31/2013-09-27/cosmic_001384,MDBM-31,0,1384,Occupancy,27/09/2013,8966,1089,500,639497,0.33645,0.300869,0.275707,0.132128,181.391,47.3642,58.7585,0,110.92,45.3652
data/cosmicData/MDBM-32/2013-09-26/cosmic_001368,MDBM-32,0,1368,Occupancy,26/09/2013,9321,1097,500,6577214,0.283852,0.168685,0.0521763,0.725515,601.975,27.8724,182.102,0,441.578,37.7227
data/cosmicData/MDBM-33/2013-09-28/cosmic_001408,MDBM-33,0,1408,Occupancy,28/09/2013,9438,1102,500,658531,0.314792,0.310664,0.306943,0.0204124,182.974,55.683,59.9842,0,8.01609,33.9116
data/cosmicData/MDBM-34/2013-09-29/cosmic_001417,MDBM-34,0,1417,Occupancy,29/09/2013,9565,1088,700,712522,0.274306,0.271237,0.26758,0.0218719,198.348,52.6227,59.8712,0,20.7476,40.1248
data/cosmicData/MDBM-35/2013-09-28/cosmic_001398,MDBM-35,0,1398,Occupancy,28/09/2013,9705,1090,500,1827407,0.439089,0.369252,0.291664,0.307201,176.249,45.0874,172.805,0,382.426,35.8748
data/cosmicData/MDBM-36/2013-09-29/cosmic_001412,MDBM-36,0,1412,Occupancy,29/09/2013,9831,1088,500,681331,0.323884,0.319238,0.314893,0.0217924,199.347,62.2523,56.9637,0,578.016,41.4729
data/cosmicData/MDBM-37/2013-10-03/cosmic_001441,MDBM-37,0,1441,Occupancy,03/10/2013,10419,1090,500,8650352,0.288445,0.272635,0.260239,0.0669775,179.807,45.7382,801.82,0,1670.84,49.224
data/cosmicData/MSBM-01/2013-08-30/cosmic_001140,MSBM-01,963,1140,Occupancy,30/08/2013,6001,2999,60,1357517,0.634969,0.63246,0.627821,0.0160976,384.269,239.122,58.8788,0,269.729,32.078
data/cosmicData/MSBM-02/2013-08-30/cosmic_001144,MSBM-02,961,1144,Occupancy,30/08/2013,6041,3003,60,1132257,0.787441,0.784132,0.778819,0.0155501,320.493,247.401,58.881,0,307.181,32.9393
data/cosmicData/MSBM-12/2013-08-29/cosmic_001133,MSBM-12,968,1133,Occupancy,29/08/2013,5901,3005,60,1365624,0.66289,0.660414,0.655727,0.016286,380.888,247.447,59.7562,0,15.9762,27.9643
data/cosmicData/MSBM-13/2013-08-30/cosmic_001142,MSBM-13,969,1142,Occupancy,30/08/2013,6008,3011,60,1367692,0.644586,0.641778,0.636996,0.0166276,387.47,244.535,58.83,0,-53.1764,27.1477
data/cosmicData/MSBM-19/2013-08-23/cosmic_001111,MSBM-19,983,1111,Occupancy,23/08/2013,5432,2997,60,1602794,0.608976,0.606381,0.601683,0.0175326,446.44,265.967,59.8362,0,46.9571,28.2489
data/cosmicData/MSBM-20/2013-08-22/cosmic_001104,MSBM-20,987,1104,Occupancy,22/08/2013,5381,3490,60,773221,0.647285,0.644636,0.639496,0.0166538,426.2,270.169,30.237,0,-2.25049,29.4618
data/cosmicData/MSBM-21/2013-08-23/cosmic_001113,MSBM-21,988,1113,Occupancy,23/08/2013,5481,3004,60,1566237,0.632438,0.629609,0.624543,0.0178944,436.936,270.176,59.7432,0,31.9571,27.9821
data/cosmicData/MSBM-22/2013-08-23/cosmic_001115,MSBM-22,989,1115,Occupancy,23/08/2013,5526,3009,60,1720877,0.573642,0.571144,0.566637,0.0175842,479.474,269.033,59.8183,0,-55.284,26.5707
data/cosmicData/MSBM-23/2013-09-06/cosmic_001164,MSBM-23,970,1164,Occupancy,06/09/2013,6448,3011,60,9961696,0.615482,0.612825,0.608081,0.0176822,426.424,256.702,389.35,0,-10.7368,26.7395
data/cosmicData/MSBM-25/2013-09-09/cosmic_001173,MSBM-25,972,1173,Occupancy,09/09/2013,6600,3009,60,9963035,0.611874,0.609216,0.604468,0.0178187,398.524,238.461,416.663,0,-102.737,24.96
data/cosmicData/MSBM-26/2013-09-09/cosmic_001171,MSBM-26,975,1171,Occupancy,09/09/2013,6548,3002,60,1379845,0.639602,0.637067,0.632329,0.0173505,390.646,244.549,58.8703,0,-41.8192,27.1293
data/cosmicData/MSBM-27/2013-09-19/cosmic_001255,MSBM-27,978,1255,Occupancy,19/09/2013,7433,3001,60,1029016,0.471459,0.469283,0.46571,0.0171464,582.268,268.564,29.4542,0,-182.25,26.2298
data/cosmicData/MSBM-28/2013-09-18/cosmic_001241,MSBM-28,982,1241,Occupancy,18/09/2013,7197,3008,60,2805137,0.174658,0.173872,0.172488,0.0188278,1424.73,243.057,32.8148,0,-161.437,26.0384
data/cosmicData/MSBM-29/2013-09-18/cosmic_001243,MSBM-29,990,1243,Occupancy,18/09/2013,7235,2997,60,1116223,0.428032,0.425978,0.422545,0.0182024,617.135,258.101,30.1453,0,-150.574,27.4591
data/cosmicData/MSBM-30/2013-09-18/cosmic_001246,MSBM-30,1020,1246,Occupancy,18/09/2013,7273,0,60,756015,0.629084,0.626351,0.621259,0.0185373,426.738,262.333,29.5268,0,-74.2505,28.2135
data/cosmicData/MSBM-34/2013-09-18/cosmic_001248,MSBM-34,967,1248,Occupancy,18/09/2013,7320,3007,60,8216013,0.632386,0.629415,0.624275,0.0186302,435.092,268.751,314.723,0,-56.9563,25.8844
