Directory	ModuleID	ChipSN	RunNumber	RunType	Date	ConfigNumber	Threshold	Voltage	Triggers	EffRaw	EffSignal	EffCorrected	NoiseFraction	AverageRate	SignalRate	Time	ToTDrop	LowPixels	LowPixelsErr
data/cosmicData/MDBM-13/2013-08-12/cosmic_001080	MDBM-13	2229	1080	Occupancy	2013-08-12	4658	1104	550	3337867	0.250103	0.247803	0.245019	0.0156395	180.281	43.9756	308.58	1	1221.32	45.1442
data/cosmicData/MDBM-13/2013-08-22/cosmic_001105	MDBM-13	2229	1105	Occupancy	2013-08-22	5386	1104	800	3169718	0.145544	0.127154	0.111627	0.157718	190.25	20.3757	277.68	1	1878.42	54.2218
data/cosmicData/MDBM-13/2013-08-25/cosmic_001120	MDBM-13	2229	1120	Occupancy	2013-08-25	5386	1104	700	5360395	0.228095	0.198376	0.17195	0.180063	179.329	29.1689	498.19	1	1324.48	45.8912
data/cosmicData/MDBM-15/2013-08-07/cosmic_001043	MDBM-15	2231	1043	Unknown	2013-08-07	4085	1093	0	14520	0.639256	0.636088	0.631188	0.0126678	106.34	66.7846	2.27573	0	8007.1	137.339
data/cosmicData/MDBM-15/2013-08-07/cosmic_001044	MDBM-15	2231	1044	Unknown	2013-08-07	4085	1093	0	381514	0.606714	0.596937	0.585012	0.0312988	108.45	62.7114	58.6315	0	12405.6	116.572
data/cosmicData/MDBM-15/2013-08-07/cosmic_001045	MDBM-15	2231	1045	Unknown	2013-08-07	4086	1093	0	383604	0.772455	0.736105	0.684644	0.135034	109.093	69.4599	58.6052	0	12268.8	114.669
data/cosmicData/MDBM-15/2013-08-07/cosmic_001046	MDBM-15	2231	1046	Unknown	2013-08-07	4089	1508	0	1	0.0	0.0	0.0	nan	inf	nan	0.0	0	0.0	161.889
data/cosmicData/MDBM-15/2013-08-07/cosmic_001047	MDBM-15	2231	1047	Unknown	2013-08-07	4089	1508	0	869	0.662831	0.658228	0.656369	0.00524476	45.2044	29.5987	0.320397	0	14481.1	159.173
data/cosmicData/MDBM-15/2013-08-07/cosmic_001048	MDBM-15	2231	1048	Unknown	2013-08-07	4089	1508	0	384032	0.343654	0.340961	0.337552	0.017825	108.844	36.45	58.8048	0	12324.4	116.859
data/cosmicData/MDBM-15/2013-08-07/cosmic_001049	MDBM-15	2231	1049	Unknown	2013-08-07	4089	1508	0	98	0.0	0.0	0.0	nan	85.5287	0.0	0.0190968	0	0.0	161.889
data/cosmicData/MDBM-15/2013-08-07/cosmic_001050	MDBM-15	2231	1050	Unknown	2013-08-07	4091	1197	0	341841	0.712559	0.678979	0.628495	0.137202	109.415	64.0977	52.071	0	12133.3	115.495
data/cosmicData/MDBM-15/2013-08-07/cosmic_001051	MDBM-15	2231	1051	Unknown	2013-08-07	4085	1093	0	133474	0.0243268	0.0182882	-3.67383e+25	1.75133	2458.14	7.90988e+07	0.904978	0	10117.1	144.817
data/cosmicData/MDBM-15/2013-08-07/cosmic_001052	MDBM-15	2231	1052	Unknown	2013-08-07	4085	1093	0	7257	0.256993	0.250241	0.243929	0.0512115	188.168	44.676	0.642777	0	12476.1	152.745
data/cosmicData/MDBM-15/2013-08-07/cosmic_001053	MDBM-15	2231	1053	Occupancy	2013-08-07	4085	1093	600	8864049	0.355789	0.265262	0.18421	0.417544	209.559	32.3776	704.977	1	7549.4	91.033
data/cosmicData/MDBM-15/2013-08-11/cosmic_001064	MDBM-15	2231	1064	Occupancy	2013-08-11	4503	1093	600	1999907	0.278837	0.237023	0.208736	0.182384	188.794	36.587	176.552	0	8260.75	95.5563
data/cosmicData/MDBM-15/2013-08-11/cosmic_001065	MDBM-15	2231	1065	Efficiency	2013-08-11	4089	1508	800	496297	0.240489	0.226711	0.206156	0.150059	105.599	20.348	78.3305	0	12606.9	120.64
data/cosmicData/MDBM-15/2013-08-11/cosmic_001066	MDBM-15	2231	1066	Efficiency	2013-08-11	4089	1508	700	494497	0.695177	0.66216	0.615843	0.108992	105.542	62.2688	78.0883	0	12433.8	115.386
data/cosmicData/MDBM-15/2013-08-11/cosmic_001067	MDBM-15	2231	1067	Efficiency	2013-08-11	4091	1197	700	391915	0.755975	0.720238	0.66513	0.131363	105.942	66.2803	61.6553	0	12327.1	115.187
data/cosmicData/MDBM-15/2013-08-11/cosmic_001068	MDBM-15	2231	1068	Unknown	2013-08-11	4091	1197	0	1	1.0	1.0	-35.0	6.0	inf	inf	0.0	0	15349.1	161.876
data/cosmicData/MDBM-15/2013-08-17/cosmic_001070	MDBM-15	2231	1070	Unknown	2013-08-17	4070	1093	0	22797	0.00903628	0.00434268	-inf	15.0909	10478.4	1.97414e+09	0.0362602	1	13952.1	157.502
data/cosmicData/MDBM-15/2013-08-17/cosmic_001071	MDBM-15	2231	1071	Unknown	2013-08-17	4070	1093	0	15095	0.00834713	0.0045048	-0.681169	1.94118	10590.9	3.01343e+09	0.0237547	0	15170.1	161.323
data/cosmicData/MDBM-15/2013-08-17/cosmic_001077	MDBM-15	2231	1077	Unknown	2013-08-17	5038	1197	0	623066	0.000365932	0.000158892	1.13493e-05	0.939394	10487.3	0.10099	0.990193	1	15173.1	161.332
data/cosmicData/MDBM-15/2013-08-17/cosmic_001078	MDBM-15	2231	1078	Unknown	2013-08-17	5038	1197	0	67595	0.574791	0.547984	0.513344	0.0985665	116.948	57.7692	9.63317	0	12635.6	131.503
data/cosmicData/MDBM-15/2013-08-17/cosmic_001079	MDBM-15	2231	1079	Unknown	2013-08-17	5038	1197	0	2936	0.506131	0.491826	0.487729	0.0124654	117.167	56.9076	0.417637	0	13505.1	156.077
data/cosmicData/MDBM-15/2013-08-17/cosmic_001080	MDBM-15	2231	1080	Unknown	2013-08-17	5038	1197	0	2936738	0.556455	0.54119	0.534906	0.0186909	116.155	61.6871	421.382	0	14516.6	123.544
data/cosmicData/MDBM-16/2013-08-16/cosmic_002000	MDBM-16	2232	2000	Efficiency	2013-08-16	5024	1091	600	268448	0.516845	0.428169	0.323847	0.316127	102.033	29.8766	43.8498	0	11000.6	118.828
data/cosmicData/MDBM-16/2013-08-16/cosmic_002001	MDBM-16	2232	2001	Efficiency	2013-08-16	5024	1091	550	382392	0.621347	0.581992	0.531704	0.135139	102.51	51.5977	62.1713	0	10911.7	111.808
data/cosmicData/MDBM-16/2013-08-16/cosmic_002002	MDBM-16	2232	2002	Efficiency	2013-08-16	5027	1199	550	372277	0.584543	0.57815	0.569987	0.0229287	101.541	57.36	61.1045	0	10973.7	112.085
data/cosmicData/MDBM-16/2013-08-16/cosmic_002003	MDBM-16	2232	2003	Unknown	2013-08-16	5032	1515	0	21	0.0	0.0	0.0	nan	0.814258	0.0	0.42984	0	0.0	161.889
data/cosmicData/MDBM-16/2013-08-16/cosmic_002004	MDBM-16	2232	2004	Efficiency	2013-08-16	5032	1515	550	405890	0.545877	0.540055	0.532936	0.0198583	102.595	54.3065	65.9375	0	11372.7	113.851
data/cosmicData/MDBM-16/2013-08-16/cosmic_002005	MDBM-16	2232	2005	Unknown	2013-08-16	5024	1091	0	29819	0.330662	0.270331	0.223172	0.250465	168.169	34.0749	2.95525	0	7641.1	136.0
data/cosmicData/MDBM-16/2013-08-16/cosmic_002006	MDBM-16	2232	2006	Unknown	2013-08-16	5024	1091	0	7477833	0.129847	0.0569069	-inf	2.15642	10492.7	6.02591e+06	11.8778	0	20183.1	144.731
data/cosmicData/MDBM-16/2013-08-16/cosmic_002007	MDBM-16	2232	2007	Unknown	2013-08-16	5024	1091	0	31	0.0967742	0.0645161	0.0645161	0.0	290.387	18.7346	0.00177923	0	21075.2	161.883
data/cosmicData/MDBM-16/2013-08-16/cosmic_002008	MDBM-16	2232	2008	Unknown	2013-08-16	5024	1091	0	500	0.132	0.062	-0.00455829	1.06452	287.114	2.46629e+09	0.0290245	0	15340.1	161.849
data/cosmicData/MDBM-16/2013-08-16/cosmic_002009	MDBM-16	2232	2009	Occupancy	2013-08-16	5024	1091	550	10054241	0.273273	0.182467	0.0770544	0.6646	351.165	21.4911	477.185	0	3488.78	65.2763
data/cosmicData/MDBM-16/2013-08-21/cosmic_001088	MDBM-16	2232	1088	Unknown	2013-08-21	5024	1091	0	11779	0.266576	0.263265	0.260611	0.0164463	159.402	41.2748	1.23158	0	11180.1	148.442
data/cosmicData/MDBM-16/2013-08-21/cosmic_001089	MDBM-16	2232	1089	Unknown	2013-08-21	5024	1091	0	8481309	0.146777	0.135372	0.11368	0.22392	264.196	27.7564	535.038	0	3501.18	65.4141
data/cosmicData/MDBM-16/2013-09-04/cosmic_001152	MDBM-16	2232	1152	Efficiency	2013-09-04	6163	1107	600	365030	0.352242	0.347615	0.343769	0.0148711	100.518	34.422	60.5247	0	9604.62	112.801
data/cosmicData/MDBM-16/2013-09-04/cosmic_001153	MDBM-16	2232	1153	Efficiency	2013-09-04	6165	1205	600	354545	0.492462	0.456286	0.420548	0.110562	100.773	40.8974	58.6378	0	12314.4	118.195
data/cosmicData/MDBM-16/2013-09-04/cosmic_001154	MDBM-16	2232	1154	Efficiency	2013-09-04	6168	1517	600	364630	0.441283	0.436708	0.431998	0.0150342	100.066	43.0427	60.7315	0	12305.4	118.157
data/cosmicData/MDBM-16/2013-09-04/cosmic_001155	MDBM-16	2232	1155	Efficiency	2013-09-04	6170	1107	650	358807	0.602109	0.595903	0.588174	0.0221969	100.586	58.6091	59.4527	0	11607.4	113.75
data/cosmicData/MDBM-16/2013-09-04/cosmic_001156	MDBM-16	2232	1156	Occupancy	2013-09-04	6170	1107	650	10013554	0.470742	0.309233	0.130439	0.664667	234.582	24.3253	711.445	0	3757.74	67.1491
data/cosmicData/MDBM-17/2013-09-25/cosmic_001352	MDBM-17	2207	1352	Efficiency	2013-09-25	9081	1004	500	109865	0.50553	0.500432	0.494832	0.0160968	99.8017	49.1401	18.3472	0	7439.09	121.659
data/cosmicData/MDBM-17/2013-09-25/cosmic_001353	MDBM-17	2207	1353	Efficiency	2013-09-25	9081	1004	800	109888	0.769738	0.670628	0.485501	0.406275	98.7777	39.3302	18.5413	0	10246.6	122.082
data/cosmicData/MDBM-17/2013-09-25/cosmic_001354	MDBM-17	2207	1354	Efficiency	2013-09-25	9081	1004	1000	50898	0.703937	0.619022	0.0505696	0.961025	99.2136	2.3937	8.55023	0	9501.16	120.963
data/cosmicData/MDBM-17/2013-09-25/cosmic_001355	MDBM-17	2207	1355	Occupancy	2013-09-25	9081	1004	500	5139300	0.476457	0.36611	0.247008	0.445605	171.758	34.8617	498.695	0	1176.84	44.2041
data/cosmicData/MDBM-17/2013-09-25/cosmic_001356	MDBM-17	2207	1356	Efficiency	2013-09-25	9082	1197	800	87244	0.783229	0.725712	0.630968	0.237578	97.6893	54.0514	14.8846	0	8944.58	116.628
