LECROYWR104Xi,20182,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,18-Mar-2015 18:21:49,0                 
Time,Ampl
-2.28212e-008,-0.00123912
-2.27212e-008,4.08356e-005
-2.26212e-008,0.000680811
-2.25212e-008,0.00196076
-2.24212e-008,0.00260074
-2.23212e-008,4.08356e-005
-2.22212e-008,-0.00059914
-2.21212e-008,-0.00123912
-2.20212e-008,0.000680811
-2.19212e-008,4.08356e-005
-2.18212e-008,0.00196076
-2.17212e-008,0.00132079
-2.16212e-008,-0.00059914
-2.15212e-008,-0.00187909
-2.14212e-008,-0.00315904
-2.13212e-008,-0.00379902
-2.12212e-008,-0.00379902
-2.11212e-008,-0.00507897
-2.10212e-008,-0.00315904
-2.09212e-008,-0.00251907
-2.08212e-008,-0.00187909
-2.07212e-008,-0.00187909
-2.06212e-008,-0.00123912
-2.05212e-008,-0.00251907
-2.04212e-008,-0.00251907
-2.03212e-008,-0.00315904
-2.02212e-008,-0.00251907
-2.01212e-008,-0.00315904
-2.00212e-008,-0.00187909
-1.99212e-008,-0.00123912
-1.98212e-008,-0.00059914
-1.97212e-008,-0.00123912
-1.96212e-008,-0.00059914
-1.95212e-008,-0.00123912
-1.94212e-008,-0.00123912
-1.93212e-008,-0.00187909
-1.92212e-008,-0.00187909
-1.91212e-008,-0.00123912
-1.90212e-008,4.08356e-005
-1.89212e-008,4.08356e-005
-1.88212e-008,0.00196076
-1.87212e-008,0.00260074
-1.86212e-008,0.00132079
-1.85212e-008,-0.00187909
-1.84212e-008,-0.00443899
-1.83212e-008,-0.00443899
-1.82212e-008,-0.00443899
-1.81212e-008,-0.00379902
-1.80212e-008,-0.00251907
-1.79212e-008,-0.00315904
-1.78212e-008,-0.00379902
-1.77212e-008,-0.00443899
-1.76212e-008,-0.00699889
-1.75212e-008,-0.0095588
-1.74212e-008,-0.0095588
-1.73212e-008,-0.00891882
-1.72212e-008,-0.0095588
-1.71212e-008,-0.00827884
-1.70212e-008,-0.00571894
-1.69212e-008,-0.00379902
-1.68212e-008,-0.00123912
-1.67212e-008,0.00196076
-1.66212e-008,0.00260074
-1.65212e-008,0.00324071
-1.64212e-008,0.00324071
-1.63212e-008,0.00260074
-1.62212e-008,0.00388069
-1.61212e-008,0.00324071
-1.60212e-008,0.00388069
-1.59212e-008,0.00196076
-1.58212e-008,0.00196076
-1.57212e-008,4.08356e-005
-1.56212e-008,-0.00123912
-1.55212e-008,-0.00315904
-1.54212e-008,-0.00443899
-1.53212e-008,-0.00379902
-1.52212e-008,-0.00315904
-1.51212e-008,-0.00443899
-1.50212e-008,-0.00379902
-1.49212e-008,-0.00507897
-1.48212e-008,-0.00507897
-1.47212e-008,-0.00379902
-1.46212e-008,-0.00443899
-1.45212e-008,-0.00507897
-1.44212e-008,-0.00571894
-1.43212e-008,-0.00635892
-1.42212e-008,-0.00827884
-1.41212e-008,-0.00827884
-1.40212e-008,-0.00763887
-1.39212e-008,-0.00827884
-1.38212e-008,-0.00763887
-1.37212e-008,-0.00699889
-1.36212e-008,-0.00635892
-1.35212e-008,-0.00443899
-1.34212e-008,-0.00315904
-1.33212e-008,-0.00251907
-1.32212e-008,-0.00123912
-1.31212e-008,4.08356e-005
-1.30212e-008,4.08356e-005
-1.29212e-008,-0.00123912
-1.28212e-008,-0.00251907
-1.27212e-008,-0.00379902
-1.26212e-008,-0.00315904
-1.25212e-008,-0.00379902
-1.24212e-008,-0.00251907
-1.23212e-008,-0.00187909
-1.22212e-008,-0.00251907
-1.21212e-008,-0.00507897
-1.20212e-008,-0.00635892
-1.19212e-008,-0.00699889
-1.18212e-008,-0.00699889
-1.17212e-008,-0.00571894
-1.16212e-008,-0.00507897
-1.15212e-008,-0.00571894
-1.14212e-008,-0.00443899
-1.13212e-008,-0.00251907
-1.12212e-008,-0.00315904
-1.11212e-008,-0.00251907
-1.10212e-008,-0.00123912
-1.09212e-008,-0.00187909
-1.08212e-008,-0.00187909
-1.07212e-008,-0.00187909
-1.06212e-008,-0.00315904
-1.05212e-008,-0.00315904
-1.04212e-008,-0.00379902
-1.03212e-008,-0.00379902
-1.02212e-008,-0.00251907
-1.01212e-008,-0.00187909
-1.00212e-008,-0.00315904
-9.92124e-009,-0.00379902
-9.82124e-009,-0.00571894
-9.72124e-009,-0.00635892
-9.62124e-009,-0.00507897
-9.52124e-009,-0.00315904
-9.42124e-009,4.08356e-005
-9.32124e-009,4.08356e-005
-9.22124e-009,0.00132079
-9.12124e-009,4.08356e-005
-9.02124e-009,-0.00059914
-8.92124e-009,-0.00187909
-8.82124e-009,-0.00187909
-8.72124e-009,-0.00315904
-8.62124e-009,-0.00315904
-8.52124e-009,-0.00379902
-8.42124e-009,-0.00379902
-8.32124e-009,-0.00379902
-8.22124e-009,-0.00315904
-8.12124e-009,-0.00315904
-8.02124e-009,-0.00379902
-7.92124e-009,-0.00507897
-7.82124e-009,-0.00635892
-7.72124e-009,-0.00635892
-7.62124e-009,-0.00763887
-7.52124e-009,-0.00571894
-7.42124e-009,-0.00571894
-7.32124e-009,-0.00507897
-7.22124e-009,-0.00443899
-7.12124e-009,-0.00315904
-7.02124e-009,-0.00187909
-6.92124e-009,-0.00251907
-6.82124e-009,-0.00187909
-6.72124e-009,-0.00443899
-6.62124e-009,-0.00251907
-6.52124e-009,-0.00123912
-6.42124e-009,0.00132079
-6.32124e-009,0.00132079
-6.22124e-009,0.00324071
-6.12124e-009,0.00260074
-6.02124e-009,0.00196076
-5.92124e-009,0.00132079
-5.82124e-009,4.08356e-005
-5.72124e-009,-0.00059914
-5.62124e-009,-0.00123912
-5.52124e-009,-0.00187909
-5.42124e-009,-0.00251907
-5.32124e-009,-0.00315904
-5.22124e-009,-0.00571894
-5.12124e-009,-0.00635892
-5.02124e-009,-0.00699889
-4.92124e-009,-0.00891882
-4.82124e-009,-0.00635892
-4.72124e-009,-0.00571894
-4.62124e-009,-0.00379902
-4.52124e-009,-0.00507897
-4.42124e-009,-0.00379902
-4.32124e-009,-0.00315904
-4.22124e-009,-0.00123912
-4.12124e-009,-0.00187909
-4.02124e-009,-0.00187909
-3.92124e-009,-0.00251907
-3.82124e-009,-0.00379902
-3.72124e-009,-0.00443899
-3.62124e-009,-0.00315904
-3.52124e-009,-0.00315904
-3.42124e-009,-0.00059914
-3.32124e-009,-0.00187909
-3.22124e-009,-0.00123912
-3.12124e-009,-0.00251907
-3.02124e-009,-0.00443899
-2.92124e-009,-0.00507897
-2.82124e-009,-0.00891882
-2.72124e-009,-0.00699889
-2.62124e-009,-0.00763887
-2.52124e-009,-0.00571894
-2.42124e-009,-0.00315904
-2.32124e-009,-0.00187909
-2.22124e-009,0.00132079
-2.12124e-009,-0.00187909
-2.02124e-009,-0.00251907
-1.92124e-009,-0.00443899
-1.82124e-009,-0.00379902
-1.72124e-009,-0.00379902
-1.62124e-009,-0.00379902
-1.52124e-009,-0.00443899
-1.42124e-009,-0.00507897
-1.32124e-009,-0.00635892
-1.22124e-009,-0.00571894
-1.12124e-009,-0.00635892
-1.02124e-009,-0.00571894
-9.21237e-010,-0.00571894
-8.21237e-010,-0.00571894
-7.21237e-010,-0.00571894
-6.21237e-010,-0.00251907
-5.21237e-010,0.000680811
-4.21237e-010,0.00324071
-3.21237e-010,0.00388069
-2.21237e-010,0.00388069
-1.21237e-010,0.00260074
-2.12366e-011,-0.00059914
7.87634e-011,-0.00059914
1.78763e-010,-0.00251907
2.78763e-010,-0.00251907
3.78763e-010,-0.00123912
4.78763e-010,-0.00059914
5.78763e-010,-0.00059914
6.78763e-010,4.08356e-005
7.78763e-010,0.000680811
8.78763e-010,0.000680811
9.78763e-010,0.000680811
1.07876e-009,0.00132079
1.17876e-009,0.00132079
1.27876e-009,0.00260074
1.37876e-009,0.00516064
1.47876e-009,0.00452066
1.57876e-009,0.00580061
1.67876e-009,0.00388069
1.77876e-009,0.00324071
1.87876e-009,0.00132079
1.97876e-009,-0.00123912
2.07876e-009,-0.00315904
2.17876e-009,-0.00635892
2.27876e-009,-0.00827884
2.37876e-009,-0.0095588
2.47876e-009,-0.00699889
2.57876e-009,-0.00571894
2.67876e-009,-0.00443899
2.77876e-009,-0.00379902
2.87876e-009,-0.00315904
2.97876e-009,-0.00315904
3.07876e-009,-0.00315904
3.17876e-009,-0.00315904
3.27876e-009,-0.00187909
3.37876e-009,-0.00251907
3.47876e-009,-0.00315904
3.57876e-009,-0.00251907
3.67876e-009,-0.00251907
3.77876e-009,-0.00123912
3.87876e-009,0.000680811
3.97876e-009,4.08356e-005
4.07876e-009,-0.00123912
4.17876e-009,-0.00187909
4.27876e-009,-0.00187909
4.37876e-009,-0.00315904
4.47876e-009,-0.00379902
4.57876e-009,-0.00443899
4.67876e-009,-0.00571894
4.77876e-009,-0.00443899
4.87876e-009,-0.00315904
4.97876e-009,0.000680811
5.07876e-009,0.000680811
5.17876e-009,-0.00123912
5.27876e-009,-0.00507897
5.37876e-009,-0.00635892
5.47876e-009,-0.00635892
5.57876e-009,-0.00571894
5.67876e-009,-0.00507897
5.77876e-009,-0.00507897
5.87876e-009,-0.00699889
5.97876e-009,-0.00635892
6.07876e-009,-0.00507897
6.17876e-009,-0.00187909
6.27876e-009,4.08356e-005
6.37876e-009,0.00132079
6.47876e-009,0.00196076
6.57876e-009,0.00196076
6.67876e-009,0.00196076
6.77876e-009,0.00196076
6.87876e-009,0.000680811
6.97876e-009,4.08356e-005
7.07876e-009,-0.00123912
7.17876e-009,-0.00251907
7.27876e-009,-0.00251907
7.37876e-009,-0.00059914
7.47876e-009,-0.00059914
7.57876e-009,4.08356e-005
7.67876e-009,0.00132079
7.77876e-009,0.00132079
7.87876e-009,0.00132079
7.97876e-009,4.08356e-005
8.07876e-009,-0.00123912
8.17876e-009,-0.00379902
8.27876e-009,-0.00635892
8.37876e-009,-0.00635892
8.47876e-009,-0.00635892
8.57876e-009,-0.00699889
8.67876e-009,-0.00763887
8.77876e-009,-0.00699889
8.87876e-009,-0.00827884
8.97876e-009,-0.00763887
9.07876e-009,-0.00699889
9.17876e-009,-0.00635892
9.27876e-009,-0.00507897
9.37876e-009,-0.00251907
9.47876e-009,-0.00251907
9.57876e-009,4.08356e-005
9.67876e-009,4.08356e-005
9.77876e-009,-0.00059914
9.87876e-009,-0.00187909
9.97876e-009,-0.00123912
1.00788e-008,0.000680811
1.01788e-008,0.000680811
1.02788e-008,4.08356e-005
1.03788e-008,-0.00187909
1.04788e-008,-0.00315904
1.05788e-008,-0.00571894
1.06788e-008,-0.00571894
1.07788e-008,-0.00315904
1.08788e-008,-0.00251907
1.09788e-008,-0.00123912
1.10788e-008,0.00132079
1.11788e-008,0.00196076
1.12788e-008,0.00260074
1.13788e-008,0.00324071
1.14788e-008,0.00260074
1.15788e-008,0.00260074
1.16788e-008,4.08356e-005
1.17788e-008,4.08356e-005
1.18788e-008,-0.00251907
1.19788e-008,-0.00251907
1.20788e-008,-0.00379902
1.21788e-008,-0.00443899
1.22788e-008,-0.00315904
1.23788e-008,-0.00315904
1.24788e-008,-0.00379902
1.25788e-008,-0.00251907
1.26788e-008,-0.00315904
1.27788e-008,-0.00379902
1.28788e-008,-0.00507897
1.29788e-008,-0.00635892
1.30788e-008,-0.00699889
1.31788e-008,-0.00507897
1.32788e-008,-0.00315904
1.33788e-008,-0.00251907
1.34788e-008,-0.00187909
1.35788e-008,-0.00123912
1.36788e-008,-0.00251907
1.37788e-008,-0.00251907
1.38788e-008,-0.00059914
1.39788e-008,0.00132079
1.40788e-008,0.00196076
1.41788e-008,0.00324071
1.42788e-008,0.00196076
1.43788e-008,0.00196076
1.44788e-008,0.00132079
1.45788e-008,0.000680811
1.46788e-008,-0.00059914
1.47788e-008,4.08356e-005
1.48788e-008,-0.00059914
1.49788e-008,0.000680811
1.50788e-008,0.00260074
