LECROYWR104Xi,20182,Waveform
Segments,1,SegmentSize,1001
Segment,TrigTime,TimeSinceSegment1
#1,18-Mar-2015 18:17:42,0                 
Time,Ampl
-2.28e-008,-0.00111889
-2.27e-008,-0.00114866
-2.26e-008,-0.00117099
-2.25e-008,-0.0011958
-2.24e-008,-0.00117843
-2.23e-008,-0.00116107
-2.22e-008,-0.00118836
-2.21e-008,-0.00115114
-2.2e-008,-0.00119828
-2.19e-008,-0.00116107
-2.18e-008,-0.00114618
-2.17e-008,-0.00112634
-2.16e-008,-0.00111641
-2.15e-008,-0.00111889
-2.14e-008,-0.00115611
-2.13e-008,-0.00117595
-2.12e-008,-0.00110401
-2.11e-008,-0.00111393
-2.1e-008,-0.00111641
-2.09e-008,-0.00112634
-2.08e-008,-0.00115114
-2.07e-008,-0.00115363
-2.06e-008,-0.00116851
-2.05e-008,-0.00114618
-2.04e-008,-0.00112634
-2.03e-008,-0.0011313
-2.02e-008,-0.00116851
-2.01e-008,-0.00121565
-2e-008,-0.00121813
-1.99e-008,-0.00116603
-1.98e-008,-0.00113626
-1.97e-008,-0.00111889
-1.96e-008,-0.00113626
-1.95e-008,-0.00114618
-1.94e-008,-0.00113626
-1.93e-008,-0.00115114
-1.92e-008,-0.00116851
-1.91e-008,-0.00113378
-1.9e-008,-0.0011834
-1.89e-008,-0.00114618
-1.88e-008,-0.00111145
-1.87e-008,-0.00115611
-1.86e-008,-0.00112137
-1.85e-008,-0.00110649
-1.84e-008,-0.00112882
-1.83e-008,-0.00113378
-1.82e-008,-0.00114122
-1.81e-008,-0.00115611
-1.8e-008,-0.00113378
-1.79e-008,-0.00112882
-1.78e-008,-0.00119332
-1.77e-008,-0.00123302
-1.76e-008,-0.0011958
-1.75e-008,-0.00116851
-1.74e-008,-0.00114866
-1.73e-008,-0.00113626
-1.72e-008,-0.00112634
-1.71e-008,-0.00115363
-1.7e-008,-0.00116355
-1.69e-008,-0.00115363
-1.68e-008,-0.00116603
-1.67e-008,-0.00113378
-1.66e-008,-0.00122061
-1.65e-008,-0.00121813
-1.64e-008,-0.00123798
-1.63e-008,-0.00120076
-1.62e-008,-0.00118588
-1.61e-008,-0.00116851
-1.6e-008,-0.00117347
-1.59e-008,-0.00116355
-1.58e-008,-0.00114122
-1.57e-008,-0.00107672
-1.56e-008,-0.00106927
-1.55e-008,-0.00104943
-1.54e-008,-0.00108912
-1.53e-008,-0.00112385
-1.52e-008,-0.00113378
-1.51e-008,-0.00115611
-1.5e-008,-0.00120076
-1.49e-008,-0.00120821
-1.48e-008,-0.00126775
-1.47e-008,-0.00124542
-1.46e-008,-0.00123302
-1.45e-008,-0.00116603
-1.44e-008,-0.00115859
-1.43e-008,-0.00115611
-1.42e-008,-0.00119332
-1.41e-008,-0.00117843
-1.4e-008,-0.00113626
-1.39e-008,-0.00113626
-1.38e-008,-0.00115114
-1.37e-008,-0.00117099
-1.36e-008,-0.0011958
-1.35e-008,-0.0011834
-1.34e-008,-0.00120324
-1.33e-008,-0.00119084
-1.32e-008,-0.00118836
-1.31e-008,-0.00115611
-1.3e-008,-0.00113626
-1.29e-008,-0.00113626
-1.28e-008,-0.00110401
-1.27e-008,-0.00115611
-1.26e-008,-0.00113626
-1.25e-008,-0.00117843
-1.24e-008,-0.00120076
-1.23e-008,-0.00118588
-1.22e-008,-0.00114618
-1.21e-008,-0.00111393
-1.2e-008,-0.00113874
-1.19e-008,-0.00112634
-1.18e-008,-0.00112882
-1.17e-008,-0.00116603
-1.16e-008,-0.00118836
-1.15e-008,-0.00116355
-1.14e-008,-0.00115611
-1.13e-008,-0.00114618
-1.12e-008,-0.00115859
-1.11e-008,-0.00119332
-1.1e-008,-0.00116107
-1.09e-008,-0.00116603
-1.08e-008,-0.00115114
-1.07e-008,-0.00115859
-1.06e-008,-0.00118836
-1.05e-008,-0.00117843
-1.04e-008,-0.00115611
-1.03e-008,-0.00112385
-1.02e-008,-0.00108416
-1.01e-008,-0.00106927
-1e-008,-0.00108664
-9.9e-009,-0.00113378
-9.8e-009,-0.00113378
-9.7e-009,-0.00107424
-9.6e-009,-0.00106927
-9.5e-009,-0.00106431
-9.4e-009,-0.00112385
-9.3e-009,-0.00115611
-9.2e-009,-0.00115611
-9.1e-009,-0.00117843
-9e-009,-0.00115114
-8.9e-009,-0.00113874
-8.8e-009,-0.00111889
-8.7e-009,-0.00115363
-8.6e-009,-0.00115114
-8.5e-009,-0.00110401
-8.4e-009,-0.00108912
-8.3e-009,-0.00109905
-8.2e-009,-0.00116603
-8.1e-009,-0.00120573
-8e-009,-0.0011958
-7.9e-009,-0.00119828
-7.8e-009,-0.00123798
-7.7e-009,-0.00118588
-7.6e-009,-0.00118836
-7.5e-009,-0.00119332
-7.4e-009,-0.00121069
-7.3e-009,-0.00114618
-7.2e-009,-0.00116107
-7.1e-009,-0.00112882
-7e-009,-0.00115611
-6.9e-009,-0.00117595
-6.8e-009,-0.00117595
-6.7e-009,-0.00115363
-6.6e-009,-0.00117595
-6.5e-009,-0.0011834
-6.4e-009,-0.00121813
-6.3e-009,-0.00121069
-6.2e-009,-0.00116851
-6.1e-009,-0.00112634
-6e-009,-0.00108416
-5.9e-009,-0.00108912
-5.8e-009,-0.00112634
-5.7e-009,-0.00122309
-5.6e-009,-0.00115114
-5.5e-009,-0.00110649
-5.4e-009,-0.00110649
-5.3e-009,-0.00108416
-5.2e-009,-0.0011313
-5.1e-009,-0.00115859
-5e-009,-0.0011313
-4.9e-009,-0.00109656
-4.8e-009,-0.00108416
-4.7e-009,-0.00111145
-4.6e-009,-0.00114618
-4.5e-009,-0.00115363
-4.4e-009,-0.00114618
-4.3e-009,-0.00114866
-4.2e-009,-0.00116603
-4.1e-009,-0.00111145
-4e-009,-0.00117595
-3.9e-009,-0.00121565
-3.8e-009,-0.00122309
-3.7e-009,-0.00122309
-3.6e-009,-0.00120821
-3.5e-009,-0.00120573
-3.4e-009,-0.00121069
-3.3e-009,-0.00123302
-3.2e-009,-0.00121317
-3.1e-009,-0.00114122
-3e-009,-0.00116603
-2.9e-009,-0.00113378
-2.8e-009,-0.00115363
-2.7e-009,-0.00116603
-2.6e-009,-0.00115611
-2.5e-009,-0.00116603
-2.4e-009,-0.00118836
-2.3e-009,-0.00120076
-2.2e-009,-0.0011834
-2.1e-009,-0.00117843
-2e-009,-0.00119828
-1.9e-009,-0.00113874
-1.8e-009,-0.00110897
-1.7e-009,-0.00112882
-1.6e-009,-0.00110897
-1.5e-009,-0.00110649
-1.4e-009,-0.00109656
-1.3e-009,-0.00108664
-1.2e-009,-0.00108168
-1.1e-009,-0.00107424
-1e-009,-0.0011313
-9e-010,-0.00116107
-8e-010,-0.00115363
-7e-010,-0.00110897
-6e-010,-0.00111641
-5e-010,-0.00110153
-4e-010,-0.00115611
-3e-010,-0.00115611
-2e-010,-0.0011313
-1e-010,-0.00109905
2.15325e-023,-0.00107424
1e-010,-0.00110401
2e-010,-0.00111641
3e-010,-0.00117347
4e-010,-0.00115859
5e-010,-0.00113874
6e-010,-0.00112137
7e-010,-0.00110897
8e-010,-0.00113378
9e-010,-0.00113626
1e-009,-0.00112882
1.1e-009,-0.00112385
1.2e-009,-0.0010792
1.3e-009,-0.0010916
1.4e-009,-0.00117099
1.5e-009,-0.00118836
1.6e-009,-0.0011958
1.7e-009,-0.00114866
1.8e-009,-0.00116603
1.9e-009,-0.00114122
2e-009,-0.00117347
2.1e-009,-0.00122309
2.2e-009,-0.0012479
2.3e-009,-0.00123053
2.4e-009,-0.00120573
2.5e-009,-0.00121813
2.6e-009,-0.00122309
2.7e-009,-0.00121813
2.8e-009,-0.00123053
2.9e-009,-0.00117843
3e-009,-0.00115859
3.1e-009,-0.00111889
3.2e-009,-0.00116851
3.3e-009,-0.00119332
3.4e-009,-0.00117843
3.5e-009,-0.00112882
3.6e-009,-0.00116107
3.7e-009,-0.00112634
3.8e-009,-0.00112882
3.9e-009,-0.00116355
4e-009,-0.00117595
4.1e-009,-0.0011834
4.2e-009,-0.00119332
4.3e-009,-0.00119332
4.4e-009,-0.00124294
4.5e-009,-0.00119084
