LECROYWR104Xi,20182,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,18-Mar-2015 18:22:27,0                 
Time,Ampl
-2.28982e-008,0.00132079
-2.27982e-008,-0.00123912
-2.26982e-008,-0.00123912
-2.25982e-008,-0.00059914
-2.24982e-008,0.000680811
-2.23982e-008,4.08356e-005
-2.22982e-008,0.00196076
-2.21982e-008,0.00196076
-2.20982e-008,0.00580061
-2.19982e-008,0.00516064
-2.18982e-008,0.00580061
-2.17982e-008,0.00644059
-2.16982e-008,0.00516064
-2.15982e-008,0.00388069
-2.14982e-008,0.00324071
-2.13982e-008,0.00196076
-2.12982e-008,0.00132079
-2.11982e-008,0.00196076
-2.10982e-008,0.00196076
-2.09982e-008,0.00132079
-2.08982e-008,0.00324071
-2.07982e-008,0.00324071
-2.06982e-008,0.00388069
-2.05982e-008,0.00324071
-2.04982e-008,4.08356e-005
-2.03982e-008,-0.00315904
-2.02982e-008,-0.00507897
-2.01982e-008,-0.00507897
-2.00982e-008,-0.00507897
-1.99982e-008,-0.00571894
-1.98982e-008,-0.00507897
-1.97982e-008,-0.00635892
-1.96982e-008,-0.00571894
-1.95982e-008,-0.00571894
-1.94982e-008,-0.00443899
-1.93982e-008,-0.00443899
-1.92982e-008,-0.00059914
-1.91982e-008,-0.00123912
-1.90982e-008,-0.00123912
-1.89982e-008,-0.00315904
-1.88982e-008,-0.00507897
-1.87982e-008,-0.00571894
-1.86982e-008,-0.00763887
-1.85982e-008,-0.00827884
-1.84982e-008,-0.00443899
-1.83982e-008,0.000680811
-1.82982e-008,0.00516064
-1.81982e-008,0.00836052
-1.80982e-008,0.0102804
-1.79982e-008,0.00772054
-1.78982e-008,0.00260074
-1.77982e-008,-0.00315904
-1.76982e-008,-0.00507897
-1.75982e-008,-0.00635892
-1.74982e-008,-0.00635892
-1.73982e-008,-0.00443899
-1.72982e-008,-0.00379902
-1.71982e-008,-0.00251907
-1.70982e-008,-0.00059914
-1.69982e-008,-0.00251907
-1.68982e-008,-0.00059914
-1.67982e-008,-0.00315904
-1.66982e-008,-0.00187909
-1.65982e-008,4.08356e-005
-1.64982e-008,-0.00251907
-1.63982e-008,-0.00315904
-1.62982e-008,-0.00507897
-1.61982e-008,-0.00635892
-1.60982e-008,-0.00443899
-1.59982e-008,-0.00443899
-1.58982e-008,-0.00315904
-1.57982e-008,-0.00251907
-1.56982e-008,-0.00123912
-1.55982e-008,-0.00187909
-1.54982e-008,-0.00251907
-1.53982e-008,-0.00443899
-1.52982e-008,-0.00699889
-1.51982e-008,-0.00635892
-1.50982e-008,-0.00571894
-1.49982e-008,-0.00571894
