LECROYWR104Xi,20182,Waveform
Segments,1,SegmentSize,1001
Segment,TrigTime,TimeSinceSegment1
#1,18-Mar-2015 18:19:01,0                 
Time,Ampl
-2.28e-008,-0.00121565
-2.27e-008,-0.00120573
-2.26e-008,-0.00123302
-2.25e-008,-0.0011958
-2.24e-008,-0.00116355
-2.23e-008,-0.00121565
-2.22e-008,-0.00114122
-2.21e-008,-0.00119332
-2.2e-008,-0.00121813
-2.19e-008,-0.00123798
-2.18e-008,-0.0012355
-2.17e-008,-0.00120573
-2.16e-008,-0.00118836
-2.15e-008,-0.00115363
-2.14e-008,-0.00116603
-2.13e-008,-0.00112882
-2.12e-008,-0.00110401
-2.11e-008,-0.00111393
-2.1e-008,-0.00110401
-2.09e-008,-0.00111889
-2.08e-008,-0.00111393
-2.07e-008,-0.00117843
-2.06e-008,-0.0012355
-2.05e-008,-0.00121813
-2.04e-008,-0.00112882
-2.03e-008,-0.00106679
-2.02e-008,-0.00110153
-2.01e-008,-0.00106927
-2e-008,-0.00116107
-1.99e-008,-0.00117099
-1.98e-008,-0.00115611
-1.97e-008,-0.00114618
-1.96e-008,-0.00110401
-1.95e-008,-0.00116107
-1.94e-008,-0.00119084
-1.93e-008,-0.00120324
-1.92e-008,-0.00120324
-1.91e-008,-0.00114866
-1.9e-008,-0.00113874
-1.89e-008,-0.00116355
-1.88e-008,-0.00118836
-1.87e-008,-0.00118836
-1.86e-008,-0.00111889
-1.85e-008,-0.00112137
-1.84e-008,-0.0011437
-1.83e-008,-0.00118836
-1.82e-008,-0.00117843
-1.81e-008,-0.00122061
-1.8e-008,-0.00118588
-1.79e-008,-0.00114122
-1.78e-008,-0.00114866
-1.77e-008,-0.00116603
-1.76e-008,-0.00120573
-1.75e-008,-0.00121069
-1.74e-008,-0.0011834
-1.73e-008,-0.00114122
-1.72e-008,-0.00110153
-1.71e-008,-0.00112137
-1.7e-008,-0.00109905
-1.69e-008,-0.00115859
-1.68e-008,-0.00117843
-1.67e-008,-0.00110897
-1.66e-008,-0.00117843
-1.65e-008,-0.00116107
-1.64e-008,-0.00116851
-1.63e-008,-0.00117843
-1.62e-008,-0.00114122
-1.61e-008,-0.0011437
-1.6e-008,-0.00109656
-1.59e-008,-0.00112137
-1.58e-008,-0.00112634
-1.57e-008,-0.00119084
-1.56e-008,-0.00115611
-1.55e-008,-0.00113874
-1.54e-008,-0.00115859
-1.53e-008,-0.00113378
-1.52e-008,-0.00116603
-1.51e-008,-0.00113378
-1.5e-008,-0.00110401
-1.49e-008,-0.00106431
-1.48e-008,-0.00109408
-1.47e-008,-0.00108912
-1.46e-008,-0.00112634
-1.45e-008,-0.00108912
-1.44e-008,-0.00108168
-1.43e-008,-0.00102462
-1.42e-008,-0.00106927
-1.41e-008,-0.00109656
-1.4e-008,-0.00107424
-1.39e-008,-0.00117843
-1.38e-008,-0.0011437
-1.37e-008,-0.00115611
-1.36e-008,-0.00116107
-1.35e-008,-0.00121069
-1.34e-008,-0.00123798
-1.33e-008,-0.00124542
-1.32e-008,-0.00122309
-1.31e-008,-0.00122557
-1.3e-008,-0.00122805
-1.29e-008,-0.00123798
-1.28e-008,-0.00121317
-1.27e-008,-0.00122805
-1.26e-008,-0.00124294
-1.25e-008,-0.00120821
-1.24e-008,-0.00121565
-1.23e-008,-0.00123302
-1.22e-008,-0.00122061
-1.21e-008,-0.00120573
-1.2e-008,-0.00122309
-1.19e-008,-0.0012479
-1.18e-008,-0.00122061
-1.17e-008,-0.00119332
-1.16e-008,-0.00116603
-1.15e-008,-0.00111641
-1.14e-008,-0.00111889
-1.13e-008,-0.00109905
-1.12e-008,-0.00119084
-1.11e-008,-0.00118092
-1.1e-008,-0.00123798
-1.09e-008,-0.00121069
-1.08e-008,-0.00118836
-1.07e-008,-0.00117347
-1.06e-008,-0.00113874
-1.05e-008,-0.00116107
-1.04e-008,-0.00120324
-1.03e-008,-0.00121069
-1.02e-008,-0.00114866
-1.01e-008,-0.00110649
-1e-008,-0.00115859
-9.9e-009,-0.00117595
-9.8e-009,-0.0011958
-9.7e-009,-0.00118836
-9.6e-009,-0.00115114
-9.5e-009,-0.00105439
-9.4e-009,-0.00112137
-9.3e-009,-0.00116851
-9.2e-009,-0.00121317
-9.1e-009,-0.00119332
-9e-009,-0.00120573
-8.9e-009,-0.00112882
-8.8e-009,-0.00116107
-8.7e-009,-0.00115859
-8.6e-009,-0.00116107
-8.5e-009,-0.00116355
-8.4e-009,-0.00115859
-8.3e-009,-0.00111641
-8.2e-009,-0.00116603
-8.1e-009,-0.00120573
-8e-009,-0.00119828
-7.9e-009,-0.00121813
-7.8e-009,-0.00121565
-7.7e-009,-0.00121317
-7.6e-009,-0.00114122
-7.5e-009,-0.00110153
-7.4e-009,-0.00112137
-7.3e-009,-0.00115859
-7.2e-009,-0.00115363
-7.1e-009,-0.00120076
-7e-009,-0.00120573
-6.9e-009,-0.00127519
-6.8e-009,-0.00125038
-6.7e-009,-0.00127023
-6.6e-009,-0.00118836
-6.5e-009,-0.00120076
-6.4e-009,-0.00118588
-6.3e-009,-0.00119828
-6.2e-009,-0.00125286
-6.1e-009,-0.00116603
-6e-009,-0.00120324
-5.9e-009,-0.00122805
-5.8e-009,-0.00127271
-5.7e-009,-0.00128015
-5.6e-009,-0.0012355
-5.5e-009,-0.00125038
-5.4e-009,-0.00116355
-5.3e-009,-0.00113378
-5.2e-009,-0.00110401
-5.1e-009,-0.00115114
-5e-009,-0.0011313
-4.9e-009,-0.00118836
-4.8e-009,-0.00117099
-4.7e-009,-0.00118092
-4.6e-009,-0.00119332
-4.5e-009,-0.00120324
-4.4e-009,-0.00121069
-4.3e-009,-0.00125286
-4.2e-009,-0.00116851
-4.1e-009,-0.00116355
-4e-009,-0.0011834
-3.9e-009,-0.00119084
-3.8e-009,-0.00119828
