LECROYWR104Xi,20182,Waveform
Segments,1,SegmentSize,1001
Segment,TrigTime,TimeSinceSegment1
#1,18-Mar-2015 18:22:13,0                 
Time,Ampl
-2.28e-008,-0.00123053
-2.27e-008,-0.00125782
-2.26e-008,-0.0013124
-2.25e-008,-0.00130744
-2.24e-008,-0.00133969
-2.23e-008,-0.00125038
-2.22e-008,-0.0011437
-2.21e-008,-0.000997328
-2.2e-008,-0.000878244
-2.19e-008,-0.000898091
-2.18e-008,-0.000783969
-2.17e-008,-0.00089313
-2.16e-008,-0.000796374
-2.15e-008,-0.000766603
-2.14e-008,-0.000863359
-2.13e-008,-0.00089313
-2.12e-008,-0.00105439
-2.11e-008,-0.00120076
-2.1e-008,-0.00131737
-2.09e-008,-0.0013645
-2.08e-008,-0.00142901
-2.07e-008,-0.00137939
-2.06e-008,-0.00142653
-2.05e-008,-0.00151584
-2.04e-008,-0.00145382
-2.03e-008,-0.00138435
-2.02e-008,-0.00134218
-2.01e-008,-0.00121565
-2e-008,-0.00115363
-1.99e-008,-0.00108416
-1.98e-008,-0.000960114
-1.97e-008,-0.000870801
-1.96e-008,-0.000833587
-1.95e-008,-0.000818702
-1.94e-008,-0.000863359
-1.93e-008,-0.000957633
-1.92e-008,-0.0010271
-1.91e-008,-0.00111889
-1.9e-008,-0.00120076
-1.89e-008,-0.00127767
-1.88e-008,-0.00125782
-1.87e-008,-0.0011834
-1.86e-008,-0.00108168
-1.85e-008,-0.000975
-1.84e-008,-0.000853435
-1.83e-008,-0.000821183
-1.82e-008,-0.000888168
-1.81e-008,-0.0010395
-1.8e-008,-0.00111641
-1.79e-008,-0.00129008
-1.78e-008,-0.00132977
-1.77e-008,-0.00127023
-1.76e-008,-0.00114618
-1.75e-008,-0.00117595
-1.74e-008,-0.00113626
-1.73e-008,-0.0013124
-1.72e-008,-0.00138435
-1.71e-008,-0.00140172
-1.7e-008,-0.00130248
-1.69e-008,-0.00123798
-1.68e-008,-0.00123053
-1.67e-008,-0.00122061
-1.66e-008,-0.00115363
-1.65e-008,-0.00115611
-1.64e-008,-0.0010916
-1.63e-008,-0.00110153
-1.62e-008,-0.00107672
-1.61e-008,-0.00113874
-1.6e-008,-0.00113378
-1.59e-008,-0.00115363
-1.58e-008,-0.0011834
-1.57e-008,-0.00117099
-1.56e-008,-0.00121813
-1.55e-008,-0.00127767
-1.54e-008,-0.00138187
-1.53e-008,-0.00126527
-1.52e-008,-0.00116355
-1.51e-008,-0.00106927
-1.5e-008,-0.000992366
-1.49e-008,-0.000979962
-1.48e-008,-0.00104447
-1.47e-008,-0.00108912
-1.46e-008,-0.00119084
-1.45e-008,-0.00120821
-1.44e-008,-0.00127271
-1.43e-008,-0.00126527
-1.42e-008,-0.00128511
-1.41e-008,-0.00123302
-1.4e-008,-0.00122061
-1.39e-008,-0.00123053
-1.38e-008,-0.00109408
-1.37e-008,-0.00107176
-1.36e-008,-0.00105191
-1.35e-008,-0.00104943
-1.34e-008,-0.00104447
-1.33e-008,-0.00109905
-1.32e-008,-0.00105687
-1.31e-008,-0.00108416
-1.3e-008,-0.00102462
-1.29e-008,-0.000982443
-1.28e-008,-0.00106431
-1.27e-008,-0.00102958
-1.26e-008,-0.00107672
-1.25e-008,-0.00116107
-1.24e-008,-0.00122805
-1.23e-008,-0.00129008
-1.22e-008,-0.00127271
-1.21e-008,-0.00132233
-1.2e-008,-0.00129752
-1.19e-008,-0.00129752
-1.18e-008,-0.00122061
-1.17e-008,-0.00117347
-1.16e-008,-0.00114866
-1.15e-008,-0.00118092
-1.14e-008,-0.00113874
-1.13e-008,-0.00117595
-1.12e-008,-0.00125534
-1.11e-008,-0.00128263
-1.1e-008,-0.00129504
-1.09e-008,-0.00129752
-1.08e-008,-0.00133473
-1.07e-008,-0.00134218
-1.06e-008,-0.00133225
-1.05e-008,-0.00125534
-1.04e-008,-0.00114122
-1.03e-008,-0.00117099
-1.02e-008,-0.00113626
-1.01e-008,-0.00109905
-1e-008,-0.00112634
-9.9e-009,-0.00105935
-9.8e-009,-0.00108664
-9.7e-009,-0.00106679
-9.6e-009,-0.000975
-9.5e-009,-0.00094771
-9.4e-009,-0.000917939
-9.3e-009,-0.000910496
-9.2e-009,-0.000984923
-9.1e-009,-0.00108168
-9e-009,-0.00113378
-8.9e-009,-0.0011958
-8.8e-009,-0.00134218
-8.7e-009,-0.00136698
-8.6e-009,-0.00128511
-8.5e-009,-0.00120324
-8.4e-009,-0.000967557
-8.3e-009,-0.000927862
-8.2e-009,-0.000806297
-8.1e-009,-0.000776526
-8e-009,-0.000816221
-7.9e-009,-0.000910496
-7.8e-009,-0.000970038
-7.7e-009,-0.00110649
-7.6e-009,-0.0013
-7.5e-009,-0.00136202
-7.4e-009,-0.00145382
-7.3e-009,-0.00150095
-7.2e-009,-0.00154809
-7.1e-009,-0.00153073
-7e-009,-0.00154561
-6.9e-009,-0.00150344
-6.8e-009,-0.0014687
-6.7e-009,-0.0014042
-6.6e-009,-0.00136202
-6.5e-009,-0.00137691
-6.4e-009,-0.00140916
-6.3e-009,-0.00137691
-6.2e-009,-0.00140172
-6.1e-009,-0.00140916
-6e-009,-0.00147614
-5.9e-009,-0.00150592
-5.8e-009,-0.00145878
-5.7e-009,-0.00135706
-5.6e-009,-0.00127023
-5.5e-009,-0.0013124
-5.4e-009,-0.00138683
-5.3e-009,-0.00143397
-5.2e-009,-0.00138683
-5.1e-009,-0.00129008
-5e-009,-0.00130496
-4.9e-009,-0.00138931
-4.8e-009,-0.00138931
-4.7e-009,-0.00145134
