0.000664473	5.88E-22
0.000863815	5.82E-22
0.001122959	5.52E-22
0.001459847	5.09E-22
0.001897801	4.60E-22
0.002467141	4.51E-22
0.003207283	5.69E-22
0.004169468	5.58E-22
0.005420308	3.53E-22
0.0070464	2.44E-22
0.009160321	3.60E-22
0.011908417	3.92E-22
0.015480942	4.34E-22
0.020125224	3.67E-22
0.026162792	3.72E-22
0.034011629	3.41E-22
0.044215118	2.92E-22
0.057479653	2.31E-22
0.074723549	1.75E-22
0.097140614	1.30E-22
0.126282798	9.87E-23
0.164167637	8.05E-23
0.213417928	7.23E-23
0.277443307	6.95E-23
0.360676299	7.08E-23
0.468879189	7.28E-23
0.609542946	7.44E-23
0.792405829	7.71E-23
1.030127578	7.74E-23
1.339165851	7.71E-23
1.740915607	7.65E-23
2.263190289	7.66E-23
2.942147376	7.71E-23
3.824791588	7.65E-23
4.972229065	7.83E-23
6.463897784	7.32E-23
8.403067119	7.22E-23
10.92398726	7.08E-23
14.20118343	7.11E-23
18.46153846	6.92E-23
24	6.87E-23
31.2	6.79E-23
40.56	6.84E-23
52.728	6.82E-23
68.5464	6.75E-23
89.11032	6.81E-23
115.843416	6.79E-23
