1.493678	473.357	0.01493678	31.6893
1.310345	462.340	0.01310345	31.3546
1.105635	431.409	0.01105635	30.4563
0.94518	404.933	0.0094518	31.5607
0.783773	361.356	0.00783773	24.4789
0.567108	275.427	0.00567108	22.1732
0.283554	188.286	0.00283554	22.4194
0.132325	159.975	0.00132325	12.1364
0.0567108	108.457	0.000567108	6.41514
-1.493678	451.235	0.01493678	34.6589
-1.310345	450.135	0.01310345	35.3506
-1.10635	438.469	0.01105635	31.4670
-0.94518	416.247	0.0094518	33.6873
-0.783773	336.447	0.00783773	26.4678
-0.567108	297.794	0.00567108	25.4908
-0.283554	213.775	0.00283554	13.8748
-0.132325	144.294	0.00132325	8.15267
