1.523566	330.467	0.01523566	30.0466
1.359223	326.305	0.013599223	28.2045
1.165052	299.601	0.01153056	25.4678
0.970874	263.7	0.00970874	20.8594
0.800135	233.687	0.00800135	18.3678
0.582524	196.008	0.00582524	16.7133
0.291262	110.184	0.00291262	6.73216
-1.523566	340.467	0.01523566	30.0466
-1.35922	337.538	0.0135922	28.0092
-1.16505	321.084	0.0116505	26.7506
-0.970874	217.626	0.00970874	17.3389
-0.800135	176.904	0.00800135	14.4906
-0.582524	133.995	0.00582524	9.95266
-0.291262	94.0688	0.00291262	6.50451
-0.135922	69.8785	0.00135922	4.04405
